raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"pay water and electricity bill,pay water and electricity bill","pay water and electricity bill,pay water and electricity bill","pay water and electricity bill,pay water and electricity bill",pay water and electricity bill,save water and electricity bill,save water and electricity bill,pay water and electricity bill,save water and electricity bill,save water and electricity bill,pay water and electricity bill,save water and electricity bill,save water and electricity bill
"make a bill payment to bescom ,make a bill payment to bescom","make a bill payment to bescom,make a bill payment to bescom","make a bill payment to bescom,make a bill payment to bescom",make a bill payment to bescom,make a bill payment to bescom,make a bill payment to bescom,make a bill payment to bescom,make a bill payment to bescom,make a bill payment to bescom,make a bill payment to bescom,make a bill payment to bescom,make a bill payment to bescom
"how to scan QR code ,how to scan qr code","how to scan qr code,how to scan qr code","how to scan qr code,how to scan qr code",how to scan you are colled,how to scan qr code,how to scan qr code,how to scan you are colled,how to scan qr code,how to scan qr code,how to scan you are colled,how to scan qr code,how to scan qr code
"pay my telephone bill,pay my telephone bill","pay my telephone bill,pay my telephone bill","pay my telephone bill,pay my telephone bill",pay my telephone bill,pay my telephone bill,pay my telephone bill,pay my telephone bill,pay my telephone bill,pay my telephone bill,pay my telephone bill,pay my telephone bill,pay my telephone bill
"show me payment offers ,show me payment offers","show me payment offers,show me payment offers","show me payment offers,show me payment offers",show me payment offers,show mi payment offers,show mi payment offers,show me payment offers,show mi payment offers,show mi payment offers,show me payment offers,show mi payment offers,show mi payment offers
"send two thousand five hundred rupees to raji,send 2500 rupees to raji","send rs2500 to raji,send 2500 rupees to raji","send 2500 rupees to raji,send 2500 rupees to raji",send two thousand five hundred rupees to raji,send 2500 rupees to raji,send 2500 rupees to raji,send rs2500 to raji,send 2500 rupees to raji,send 2500 rupees to raji,send 2500 rupees to raji,send 2500 rupees to raji,send 2500 rupees to raji
"recharge my phone for four seventy nine in airtel,recharge my phone for 479 in airtel","recharge my phone for four 79 in airtel,recharge my phone for 479 in airtel","recharge my phone for 479 in airtel,recharge my phone for 479 in airtel",recharge my phone for four hundred and seventy nine p in a del,recharge my phone for 479 on airtel,recharge my phone for 479 on airtel,recharge my phone for 479 p in a del,recharge my phone for 479 on airtel,recharge my phone for 479 on airtel,recharge my phone for 479 p in a del,recharge my phone for 479 on airtel,recharge my phone for 479 on airtel
"send one hundred rupees to my mother ,send 100 rupees to my mother","send rs100 to my mother,send 100 rupees to my mother","send 100 rupees to my mother,send 100 rupees to my mother",send one hundred rupees to my mother,send 100 rupees to my mother,send 100 rupees to my mother,send rs100 to my mother,send 100 rupees to my mother,send 100 rupees to my mother,send 100 rupees to my mother,send 100 rupees to my mother,send 100 rupees to my mother
"transaction history ,transaction history","transaction history,transaction history","transaction history,transaction history",transaction history,transaction history,transaction history,transaction history,transaction history,transaction history,transaction history,transaction history,transaction history
"approve payment for television ,approve payment for television","approve payment for television,approve payment for television","approve payment for television,approve payment for television",approve payment for television,approve payment for television,approve payment for television,approve payment for television,approve payment for television,approve payment for television,approve payment for television,approve payment for television,approve payment for television
"five five four one account balance tell me ,5541 account balance tell me","5541 account balance tell me,5541 account balance tell me","5541 account balance tell me,5541 account balance tell me",five five four one account balance tell me,5541 account balance tell me,5541 account balance tell me,5541 account balance tell me,5541 account balance tell me,5541 account balance tell me,5541 account balance tell me,5541 account balance tell me,5541 account balance tell me
"send two hundred to abhay for badminton game,send 200 to abhay for badminton game","send 200 to abhay for badminton game,send 200 to abhay for badminton game","send 200 to abhay for badminton game,send 200 to abhay for badminton game",send two hundred to a bey for baddinton game,send 200 to abhay for badminton game,send 200 to abhay for badminton game,send 200 to a bey for baddinton game,send 200 to abhay for badminton game,send 200 to abhay for badminton game,send 200 to a bey for baddinton game,send 200 to abhay for badminton game,send 200 to abhay for badminton game
"show me all the active ipos,show me all the active ipos","show me all the active ipos,show me all the active ipos","show me all the active ipos,show me all the active ipos",show me all the active ipos,show me all the active ips,show me all the active ips,show me all the active ipos,show me all the active ips,show me all the active ips,show me all the active ipos,show me all the active ips,show me all the active ips
"open QR code scanner ,open qr code scanner","open qr code scanner,open qr code scanner","open qr code scanner,open qr code scanner",open qure cote scanner,open qr code scanner,open qr code scanner,open qure cote scanner,open qr code scanner,open qr code scanner,open qure cote scanner,open qr code scanner,open qr code scanner
"please open a QR to receive five hundred from the amritanshu bhaiya ,please open a qr to receive 500 from the amritanshu bhaiya","please open a qr to receive 500 from the amritanshu bhaiya,please open a qr to receive 500 from the amritanshu bhaiya","please open a qr to receive 500 from the amritanshu bhaiya,please open a qr to receive 500 from the amritanshu bhaiya",please open a qa scanner to receive five hundred rupees from amiltan subaya,please open a qr scanner to receive 500 rupees from amitanshu bhaiya,please open a qr scanner to receive 500 rupees from amitanshu bhaiya,please open a qa scanner to receive rs500 from amiltan subaya,please open a qr scanner to receive 500 rupees from amitanshu bhaiya,please open a qr scanner to receive 500 rupees from amitanshu bhaiya,please open a qa scanner to receive 500 rupees from amiltan subaya,please open a qr scanner to receive 500 rupees from amitanshu bhaiya,please open a qr scanner to receive 500 rupees from amitanshu bhaiya
"how many request do you have can you approve second one,how many request do you have can you approve second 1","how many request do you have can you approve 2nd one,how many request do you have can you approve 2nd 1","how many request do you have can you approve second 1,how many request do you have can you approve second 1",how many requests do you have can you approve the second one,how many request you have can you approve the second one,how many request you have can you approve the second one,how many requests do you have can you approve the 2nd one,how many request you have can you approve the 2nd one,how many request you have can you approve the 2nd one,how many requests do you have can you approve the second 1,how many request you have can you approve the second 1,how many request you have can you approve the second 1
"show my savings account balance ,show my savings account balance","show my savings account balance,show my savings account balance","show my savings account balance,show my savings account balance",show my savings account balance ajka,show my savings account balance at,show my savings account balance at,show my savings account balance ajka,show my savings account balance at,show my savings account balance at,show my savings account balance ajka,show my savings account balance at,show my savings account balance at
"send thousand rupees to pandey satya prakash,send 1000 rupees to pandey satya prakash","send thousand rupees to pandey satya prakash,send 1000 rupees to pandey satya prakash","send 1000 rupees to pandey satya prakash,send 1000 rupees to pandey satya prakash",send thousand rupees to pande sata prakaesh,10000 rupees to pande satya prakash,10000 rupees to pande satya prakash,send thousand rupees to pande sata prakaesh,10000 rupees to pande satya prakash,10000 rupees to pande satya prakash,send 1000 rupees to pande sata prakaesh,10000 rupees to pande satya prakash,10000 rupees to pande satya prakash
"send three hundred to ajay ,send 300 to ajay","send 300 to ajay,send 300 to ajay","send 300 to ajay,send 300 to ajay",send three hundred to a j,send 302 ajay,send 302 ajay,send 300 to a j,send 302 ajay,send 302 ajay,send 300 to a j,send 302 ajay,send 302 ajay
"i would like to donate twenty lakhs to world wildlife fund ,i would like to donate 2000000 to world wildlife fund","i would like to donate 20 lakhs to world wildlife fund,i would like to donate 2000000 to world wildlife fund","i would like to donate 2000000 to world wildlife fund,i would like to donate 2000000 to world wildlife fund",i would like to donate twenty lakhs to world wildlife fund,i'd like to donate 2000000 to world wildlife fund,i'd like to donate 2000000 to world wildlife fund,i would like to donate 20 lakhs to world wildlife fund,i'd like to donate 2000000 to world wildlife fund,i'd like to donate 2000000 to world wildlife fund,i would like to donate 2000000 to world wildlife fund,i'd like to donate 2000000 to world wildlife fund,i'd like to donate 2000000 to world wildlife fund
"share twenty thousand dollars to red cross,share 20000 dollars to red cross","share $20000 to red cross,share 20000 dollars to red cross","share 20000 dollars to red cross,share 20000 dollars to red cross",share twenty thousand dollars to red cross,shark 20000 to red cross,shark 20000 to red cross,share $20000 to red cross,shark 20000 to red cross,shark 20000 to red cross,share 20000 dollars to red cross,shark 20000 to red cross,shark 20000 to red cross
"can you transfer hundred rupees to vijay ,can you transfer 100 rupees to vijay","can you transfer hundred rupees to vijay,can you transfer 100 rupees to vijay","can you transfer 100 rupees to vijay,can you transfer 100 rupees to vijay",can you transfer one hundred rupees to j,can you transfer hundred rupees to vijay,can you transfer hundred rupees to vijay,can you transfer rs100 to j,can you transfer hundred rupees to vijay,can you transfer hundred rupees to vijay,can you transfer 100 rupees to j,can you transfer 100 rupees to vijay,can you transfer 100 rupees to vijay
"to Aai,to aai","to aai,to aai","to aai,to aai",t i,tu i,tu i,t i,tu i,tu i,t i,tu i,tu i
"pay pending payment request ,pay pending payment request","pay pending payment request,pay pending payment request","pay pending payment request,pay pending payment request",pay pending payment requests,pay pending payment request,pay pending payment request,pay pending payment requests,pay pending payment request,pay pending payment request,pay pending payment requests,pay pending payment request,pay pending payment request
"i would like to check all the active ipos,i would like to check all the active ipos","i would like to check all the active ipos,i would like to check all the active ipos","i would like to check all the active ipos,i would like to check all the active ipos",i would like to check all the active ipos,i would like to check all the active ips,i would like to check all the active ips,i would like to check all the active ipos,i would like to check all the active ips,i would like to check all the active ips,i would like to check all the active ipos,i would like to check all the active ips,i would like to check all the active ips
"view ipos lists,view ipos lists","view ipos lists,view ipos lists","view ipos lists,view ipos lists",view ipos lift list,view ips sharif list,view ips sharif list,view ipos lift list,view ips sharif list,view ips sharif list,view ipos lift list,view ips sharif list,view ips sharif list
"view offers of gas payments ,view offers of gas payments","view offers of gas payments,view offers of gas payments","view offers of gas payments,view offers of gas payments",offers of gas payment,new offers of gas payment,new offers of gas payment,offers of gas payment,new offers of gas payment,new offers of gas payment,offers of gas payment,new offers of gas payment,new offers of gas payment
"pay my health insurance bill,pay my health insurance bill","pay my health insurance bill,pay my health insurance bill","pay my health insurance bill,pay my health insurance bill",pay my health insurance bill,pay my health insurance bill,pay my health insurance bill,pay my health insurance bill,pay my health insurance bill,pay my health insurance bill,pay my health insurance bill,pay my health insurance bill,pay my health insurance bill
"pay my internet bill,pay my internet bill","pay my internet bill,pay my internet bill","pay my internet bill,pay my internet bill",pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill,pay my internet bill
"open scan and pay,open scan and pay","open scan and pay,open scan and pay","open scan and pay,open scan and pay",open scan and pay,open scan and pay,open scan and pay,open scan and pay,open scan and pay,open scan and pay,open scan and pay,open scan and pay,open scan and pay
"i need to get hundred rupees from satish kumar,i need to get 100 rupees from satish kumar","i need to get hundred rupees from satish kumar,i need to get 100 rupees from satish kumar","i need to get 100 rupees from satish kumar,i need to get 100 rupees from satish kumar",i need to gete hundred rupees from sadesh kuhar,i need to get hundred rupees from satish kumar,i need to get hundred rupees from satish kumar,i need to gete hundred rupees from sadesh kuhar,i need to get hundred rupees from satish kumar,i need to get hundred rupees from satish kumar,i need to gete 100 rupees from sadesh kuhar,i need to get 100 rupees from satish kumar,i need to get 100 rupees from satish kumar
"pay vodafone bill for five hundred rupees,pay vodafone bill for 500 rupees","pay vodafone bill for rs500,pay vodafone bill for 500 rupees","pay vodafone bill for 500 rupees,pay vodafone bill for 500 rupees",pay ard of oone bill for five hundred rupees,pay vodafone bill for 500 rupees,pay vodafone bill for 500 rupees,pay ard of oone bill for rs500,pay vodafone bill for 500 rupees,pay vodafone bill for 500 rupees,pay ard of oone bill for 500 rupees,pay vodafone bill for 500 rupees,pay vodafone bill for 500 rupees
"in cash back if i pay dth bill,in cash back if i pay dth bill","in cash back if i pay dth bill,in cash back if i pay dth bill","in cash back if i pay dth bill,in cash back if i pay dth bill",in cashback if i pay dets bill,any cashback if i pay dth bill,any cashback if i pay dth bill,in cashback if i pay dets bill,any cashback if i pay dth bill,any cashback if i pay dth bill,in cashback if i pay dets bill,any cashback if i pay dth bill,any cashback if i pay dth bill
"i want to view payment offers ,i want to view payment offers","i want to view payment offers,i want to view payment offers","i want to view payment offers,i want to view payment offers",i want to ew payment offers,i want to view payment offers,i want to view payment offers,i want to ew payment offers,i want to view payment offers,i want to view payment offers,i want to ew payment offers,i want to view payment offers,i want to view payment offers
"send hundred rupees to adity ,send 100 rupees to adity","send hundred rupees to adity,send 100 rupees to adity","send 100 rupees to adity,send 100 rupees to adity",sende hundred rupees to aditi,send hundred rupees to aditi,send hundred rupees to aditi,sende hundred rupees to aditi,send hundred rupees to aditi,send hundred rupees to aditi,sende 100 rupees to aditi,send 100 rupees to aditi,send 100 rupees to aditi
"pay three lakh fifty thousand rupees to my father,pay 350000 rupees to my father","pay three lakh rs50000 to my father,pay 350000 rupees to my father","pay 350000 rupees to my father,pay 350000 rupees to my father",pay three lakh fifty thousand rupees to my father,350000 rupees to my father,350000 rupees to my father,pay three lakh rs50000 to my father,350000 rupees to my father,350000 rupees to my father,pay 350000 rupees to my father,350000 rupees to my father,350000 rupees to my father
"jagan,jagan","jagan,jagan","jagan,jagan",jugon,jagan,jagan,jugon,jagan,jagan,jugon,jagan,jagan
"please open a QR scanner of fifty rupees,please open a qr scanner of 50 rupees","please open a qr scanner of rs50,please open a qr scanner of 50 rupees","please open a qr scanner of 50 rupees,please open a qr scanner of 50 rupees",please open a qs scanner of fifty rupees,please open a qr scanner of 50 rupees,please open a qr scanner of 50 rupees,please open a qs scanner of rs50,please open a qr scanner of 50 rupees,please open a qr scanner of 50 rupees,please open a qs scanner of 50 rupees,please open a qr scanner of 50 rupees,please open a qr scanner of 50 rupees
"pay my broadband bill to airtel,pay my broadband bill to airtel","pay my broadband bill to airtel,pay my broadband bill to airtel","pay my broadband bill to airtel,pay my broadband bill to airtel",pay my broadband bill to etel,pay my broadband bill to airtel,pay my broadband bill to airtel,pay my broadband bill to etel,pay my broadband bill to airtel,pay my broadband bill to airtel,pay my broadband bill to etel,pay my broadband bill to airtel,pay my broadband bill to airtel
"ask lohith to pay me five hundred rupees,ask lohith to pay me 500 rupees","ask lohith to pay me rs500,ask lohith to pay me 500 rupees","ask lohith to pay me 500 rupees,ask lohith to pay me 500 rupees",ask lohitth to pay me five hundred rupees,ask lohit to pay me 500 rupees,ask lohit to pay me 500 rupees,ask lohitth to pay me rs500,ask lohit to pay me 500 rupees,ask lohit to pay me 500 rupees,ask lohitth to pay me 500 rupees,ask lohit to pay me 500 rupees,ask lohit to pay me 500 rupees
"five hundred,500","500,500","500,500",so i hand read,100,100,so i hand read,100,100,so i hand read,100,100
"show me my transaction history ,show me my transaction history","show me my transaction history,show me my transaction history","show me my transaction history,show me my transaction history",show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history,show me my transaction history
"pay my fast tag bill,pay my fast tag bill","pay my fast tag bill,pay my fast tag bill","pay my fast tag bill,pay my fast tag bill",pay my first tag bill,pay my fast tag bill,pay my fast tag bill,pay my 1st tag bill,pay my fast tag bill,pay my fast tag bill,pay my first tag bill,pay my fast tag bill,pay my fast tag bill
"request nine hundred hundred from kumar ,request 900 hundred from kumar","request 900 hundred from kumar,request 900 hundred from kumar","request 900 hundred from kumar,request 900 hundred from kumar",request nine hundred from kumar,request 900 from kumar,request 900 from kumar,request 900 from kumar,request 900 from kumar,request 900 from kumar,request 900 from kumar,request 900 from kumar,request 900 from kumar
"active ipos,active ipos","active ipos,active ipos","active ipos,active ipos",active ipeers,active ips,active ips,active ipeers,active ips,active ips,active ipeers,active ips,active ips
"open the scanner to pay five hundred rupees ,open the scanner to pay 500 rupees","open the scanner to pay rs500,open the scanner to pay 500 rupees","open the scanner to pay 500 rupees,open the scanner to pay 500 rupees",open the scanner to pay five hundred rupees,open the scanner to be 500 rupees,open the scanner to be 500 rupees,open the scanner to pay rs500,open the scanner to be 500 rupees,open the scanner to be 500 rupees,open the scanner to pay 500 rupees,open the scanner to be 500 rupees,open the scanner to be 500 rupees
"request one thousand rupees from papa,request 1000 rupees from papa","request rs1000 from papa,request 1000 rupees from papa","request 1000 rupees from papa,request 1000 rupees from papa",request oneo rupees from papa,request 1000 rupees from papa,request 1000 rupees from papa,request oneo rupees from papa,request 1000 rupees from papa,request 1000 rupees from papa,request oneo rupees from papa,request 1000 rupees from papa,request 1000 rupees from papa
"what is the current balance,what is the current balance","what is the current balance,what is the current balance","what is the current balance,what is the current balance",what is the current balance,what is the current balance,what is the current balance,what is the current balance,what is the current balance,what is the current balance,what is the current balance,what is the current balance,what is the current balance
"pay my hospital bill,pay my hospital bill","pay my hospital bill,pay my hospital bill","pay my hospital bill,pay my hospital bill",pay my hospital bill,pay my hospital bill,pay my hospital bill,pay my hospital bill,pay my hospital bill,pay my hospital bill,pay my hospital bill,pay my hospital bill,pay my hospital bill
"request fifty k salary from kumar ,request 50000 salary from kumar","request 50 k salary from kumar,request 50000 salary from kumar","request 50000 salary from kumar,request 50000 salary from kumar",request fifty k salary from kumar,request 50k salary from kumar,request 50k salary from kumar,request 50 k salary from kumar,request 50k salary from kumar,request 50k salary from kumar,request 50000 salary from kumar,request 50000 salary from kumar,request 50000 salary from kumar
"approve the request for two hundred rupees,approve the request for 200 rupees","approve the request for rs200,approve the request for 200 rupees","approve the request for 200 rupees,approve the request for 200 rupees",approve the request for two hundred rupees,approve the request for 200 rupees,approve the request for 200 rupees,approve the request for rs200,approve the request for 200 rupees,approve the request for 200 rupees,approve the request for 200 rupees,approve the request for 200 rupees,approve the request for 200 rupees
"show my current balance of hdfc bank account,show my current balance of hdfc bank account","show my current balance of hdfc bank account,show my current balance of hdfc bank account","show my current balance of hdfc bank account,show my current balance of hdfc bank account",show my current balance of htfc bank account,show my current balance of hdfc bank account,show my current balance of hdfc bank account,show my current balance of htfc bank account,show my current balance of hdfc bank account,show my current balance of hdfc bank account,show my current balance of htfc bank account,show my current balance of hdfc bank account,show my current balance of hdfc bank account
"can i received fifty lakhs from shiva sir ,can i received 5000000 from shiva sir","can i received 50 lakhs from shiva sir,can i received 5000000 from shiva sir","can i received 5000000 from shiva sir,can i received 5000000 from shiva sir",,can i receive 50 lacs from shiva sir,can i receive 50 lacs from shiva sir,kenna received 50 lakhs from sivasar,can i receive 50 lacs from shiva sir,can i receive 50 lacs from shiva sir,kenna received 5000000 from sivasar,can i receive 50 lacs from shiva sir,can i receive 50 lacs from shiva sir
"show me my transactions,show me my transactions","show me my transactions,show me my transactions","show me my transactions,show me my transactions",show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions,show me my transactions
"how much is my electricity bill please pay that ,how much is my electricity bill please pay that","how much is my electricity bill please pay that,how much is my electricity bill please pay that","how much is my electricity bill please pay that,how much is my electricity bill please pay that",how much is my electricity billt please pay that,how much is my electricity bill please say that,how much is my electricity bill please say that,how much is my electricity billt please pay that,how much is my electricity bill please say that,how much is my electricity bill please say that,how much is my electricity billt please pay that,how much is my electricity bill please say that,how much is my electricity bill please say that
"i want to five hundred rupees to paakashala ,i want to 500 rupees to paakashala","i want to rs500 to paakashala,i want to 500 rupees to paakashala","i want to 500 rupees to paakashala,i want to 500 rupees to paakashala",,i want to pay 500 rupees to paakashala,i want to pay 500 rupees to paakashala,i want to pay rs500 to pakashala,i want to pay 500 rupees to paakashala,i want to pay 500 rupees to paakashala,i want to pay 500 rupees to pakashala,i want to pay 500 rupees to paakashala,i want to pay 500 rupees to paakashala
"approve water city bill,approve water city bill","approve water city bill,approve water city bill","approve water city bill,approve water city bill",approve ater city bill,approve water city bill,approve water city bill,approve ater city bill,approve water city bill,approve water city bill,approve ater city bill,approve water city bill,approve water city bill
"please request fifteen hundred rupees from saurabh,please request 1500 rupees from saurabh","please request rs1500 from saurabh,please request 1500 rupees from saurabh","please request 1500 rupees from saurabh,please request 1500 rupees from saurabh",please request h rupees from sorub,please request 1500 rupees rom sourabh,please request 1500 rupees rom sourabh,please request h rupees from sorub,please request 1500 rupees rom sourabh,please request 1500 rupees rom sourabh,please request h rupees from sorub,please request 1500 rupees rom sourabh,please request 1500 rupees rom sourabh
"i want to pay vishnu fifteen hundred rupees,i want to pay vishnu 1500 rupees","i want to pay vishnu rs1500,i want to pay vishnu 1500 rupees","i want to pay vishnu 1500 rupees,i want to pay vishnu 1500 rupees",i want to pay vishnu fift  rupees,i want to pay vishnu 1500 rupees,i want to pay vishnu 1500 rupees,i want to pay vishnu fift rupees,i want to pay vishnu 1500 rupees,i want to pay vishnu 1500 rupees,i want to pay vishnu fift  rupees,i want to pay vishnu 1500 rupees,i want to pay vishnu 1500 rupees
"hey can i gift all my account balance ,hey can i gift all my account balance","hey can i gift all my account balance,hey can i gift all my account balance","hey can i gift all my account balance,hey can i gift all my account balance",hey can i geft all my account balance,hey can i gift all my account balance,hey can i gift all my account balance,hey can i geft all my account balance,hey can i gift all my account balance,hey can i gift all my account balance,hey can i geft all my account balance,hey can i gift all my account balance,hey can i gift all my account balance
"open code scanner and pay twenty bucks to the vendor ,open code scanner and pay 20 bucks to the vendor","open code scanner and pay 20 bucks to the vendor,open code scanner and pay 20 bucks to the vendor","open code scanner and pay 20 bucks to the vendor,open code scanner and pay 20 bucks to the vendor",open code scanner and pay twenty bucks to the vendor,open code scanner and pay 20 box to the vendor,open code scanner and pay 20 box to the vendor,open code scanner and pay 20 bucks to the vendor,open code scanner and pay 20 box to the vendor,open code scanner and pay 20 box to the vendor,open code scanner and pay 20 bucks to the vendor,open code scanner and pay 20 box to the vendor,open code scanner and pay 20 box to the vendor
"request five hundred rupees to QR code ,request 500 rupees to qr code","request rs500 to qr code,request 500 rupees to qr code","request 500 rupees to qr code,request 500 rupees to qr code",request find rupees through skewer code,request 500 rupees through qr code,request 500 rupees through qr code,request find rupees through skewer code,request 500 rupees through qr code,request 500 rupees through qr code,request find rupees through skewer code,request 500 rupees through qr code,request 500 rupees through qr code
"pay my electricity bill,pay my electricity bill","pay my electricity bill,pay my electricity bill","pay my electricity bill,pay my electricity bill",pay my electricity bill to,female electricity bill,female electricity bill,pay my electricity bill to,female electricity bill,female electricity bill,pay my electricity bill to,female electricity bill,female electricity bill
"five hundred,500","500,500","500,500",so i ded,500,500,so i ded,500,500,so i ded,500,500
"how much money is there in my bank ,how much money is there in my bank","how much money is there in my bank,how much money is there in my bank","how much money is there in my bank,how much money is there in my bank",how much money is there in my bank,how much money is there in my bank,how much money is there in my bank,how much money is there in my bank,how much money is there in my bank,how much money is there in my bank,how much money is there in my bank,how much money is there in my bank,how much money is there in my bank
"approval payment of a thousand rupees ,approval payment of 1000 rupees","approval payment of a thousand rupees,approval payment of 1000 rupees","approval payment of a 1000 rupees,approval payment of 1000 rupees",approve a payment of thousand rupees,approve a payment of thousand rupees,approve a payment of thousand rupees,approve a payment of thousand rupees,approve a payment of thousand rupees,approve a payment of thousand rupees,approve a payment of 1000 rupees,approve a payment of 1000 rupees,approve a payment of 1000 rupees
"approve the amount that i got request from my dad,approve the amount that i got request from my dad","approve the amount that i got request from my dad,approve the amount that i got request from my dad","approve the amount that i got request from my dad,approve the amount that i got request from my dad",a proof the amount that i have got request from from my dad,approve the amount that i've got request from from my dad,approve the amount that i've got request from from my dad,a proof the amount that i have got request from from my dad,approve the amount that i've got request from from my dad,approve the amount that i've got request from from my dad,a proof the amount that i have got request from from my dad,approve the amount that i've got request from from my dad,approve the amount that i've got request from from my dad
"pay my bill with bescom,pay my bill with bescom","pay my bill with bescom,pay my bill with bescom","pay my bill with bescom,pay my bill with bescom",pay my bill with bascom,pay my bill with bescom,pay my bill with bescom,pay my bill with bascom,pay my bill with bescom,pay my bill with bescom,pay my bill with bascom,pay my bill with bescom,pay my bill with bescom
"check my bank balance ,check my bank balance","check my bank balance,check my bank balance","check my bank balance,check my bank balance",check my bank balance,check my bank balance,check my bank balance,check my bank balance,check my bank balance,check my bank balance,check my bank balance,check my bank balance,check my bank balance
"scanner ,scanner","scanner,scanner","scanner,scanner",scanner,scanner,scanner,scanner,scanner,scanner,scanner,scanner,scanner
"pay my education bill,pay my education bill","pay my education bill,pay my education bill","pay my education bill,pay my education bill",pay my education bill,pay my jucation bill,pay my jucation bill,pay my education bill,pay my jucation bill,pay my jucation bill,pay my education bill,pay my jucation bill,pay my jucation bill
"i would like to view if there any offers,i would like to view if there any offers","i would like to view if there any offers,i would like to view if there any offers","i would like to view if there any offers,i would like to view if there any offers",pay my education bill,pay my jucation bill,pay my jucation bill,pay my education bill,pay my jucation bill,pay my jucation bill,pay my education bill,pay my jucation bill,pay my jucation bill
"pay my mobile bill,pay my mobile bill","pay my mobile bill,pay my mobile bill","pay my mobile bill,pay my mobile bill",pay my mobile bill,pay my mobile bill,pay my mobile bill,pay my mobile bill,pay my mobile bill,pay my mobile bill,pay my mobile bill,pay my mobile bill,pay my mobile bill
"please transfer two lakh rupee from my mom ,please transfer 200000 rupee from my mom","please transfer two lakh rupee from my mom,please transfer 200000 rupee from my mom","please transfer 200000 rupee from my mom,please transfer 200000 rupee from my mom",please transfer to lak rupees from my m,please transfer 200000 rupees from my mum,please transfer 200000 rupees from my mum,please transfer to lak rupees from my m,please transfer 200000 rupees from my mum,please transfer 200000 rupees from my mum,please transfer to lak rupees from my m,please transfer 200000 rupees from my mum,please transfer 200000 rupees from my mum
"pay,pay","pay,pay","pay,pay",p pa,pay,pay,p pa,pay,pay,p pa,pay,pay
"send one hundred rupees,send 100 rupees","send rs100,send 100 rupees","send 100 rupees,send 100 rupees",send one hundred rupees,send 100 rupees,send 100 rupees,send rs100,send 100 rupees,send 100 rupees,send 100 rupees,send 100 rupees,send 100 rupees
"i want to get five hundred rupees from my sister ,i want to get 500 rupees from my sister","i want to get rs500 from my sister,i want to get 500 rupees from my sister","i want to get 500 rupees from my sister,i want to get 500 rupees from my sister",i want to get five hundred rupees from my sister,i want to get 500 rupees from my sister,i want to get 500 rupees from my sister,i want to get rs500 from my sister,i want to get 500 rupees from my sister,i want to get 500 rupees from my sister,i want to get 500 rupees from my sister,i want to get 500 rupees from my sister,i want to get 500 rupees from my sister
"i want to transfer five hundred rupees through scanner,i want to transfer 500 rupees through scanner","i want to transfer rs500 through scanner,i want to transfer 500 rupees through scanner","i want to transfer 500 rupees through scanner,i want to transfer 500 rupees through scanner",i want to transfer five hundred rupees through qr code scanner,i want to transfer 500 rupees through qr code scanner,i want to transfer 500 rupees through qr code scanner,i want to transfer rs500 through qr code scanner,i want to transfer 500 rupees through qr code scanner,i want to transfer 500 rupees through qr code scanner,i want to transfer 500 rupees through qr code scanner,i want to transfer 500 rupees through qr code scanner,i want to transfer 500 rupees through qr code scanner
"hey what offers do you have ,hey what offers do you have","hey what offers do you have,hey what offers do you have","hey what offers do you have,hey what offers do you have",hey what offers do you have,what offers do you have,what offers do you have,hey what offers do you have,what offers do you have,what offers do you have,hey what offers do you have,what offers do you have,what offers do you have
"show me the latest ipos,show me the latest ipos","show me the latest ipos,show me the latest ipos","show me the latest ipos,show me the latest ipos",,show me the latest ipl,show me the latest ipl,show me the latest ipo,show me the latest ipl,show me the latest ipl,show me the latest ipo,show me the latest ipl,show me the latest ipl
"ipos,ipos","ipos,ipos","ipos,ipos",i p os,ipos,ipos,i p os,ipos,ipos,i p os,ipos,ipos
"five not one,501","five not one,501","501,501",five naugt one,not one,not one,five naugt one,not one,not one,5 naugt 1,1,1
"scan and send ten rupees,scan and send 10 rupees","scan and send rs10,scan and send 10 rupees","scan and send 10 rupees,scan and send 10 rupees",scannan send ten rupees,scanning centre in rupees,scanning centre in rupees,scannan send rs10,scanning centre in rupees,scanning centre in rupees,scannan send 10 rupees,scanning centre in rupees,scanning centre in rupees
"approve payment to amazon ,approve payment to amazon","approve payment to amazon,approve payment to amazon","approve payment to amazon,approve payment to amazon",a proof payment to amazon,approve payment to amazon,approve payment to amazon,a proof payment to amazon,approve payment to amazon,approve payment to amazon,a proof payment to amazon,approve payment to amazon,approve payment to amazon
"show my account balance ,show my account balance","show my account balance,show my account balance","show my account balance,show my account balance",show my account balance,show my account balance,show my account balance,show my account balance,show my account balance,show my account balance,show my account balance,show my account balance,show my account balance
"show me my balance ,show me my balance","show me my balance,show me my balance","show me my balance,show me my balance",,show me my balance,show me my balance,show me my balance,show me my balance,show me my balance,show me my balance,show me my balance,show me my balance
